POS	Code	Case	Code	Number	Code	Genre	Code	Degre	Code	Mode	Code	Temps	Code	Voix	Code	Personne	Code	Morph	Empty
Verbe	VER	Vocatif	Voc	Pluriel	Plur	Masculin	Masc			Participe	Par	Parfait	Perf	Passif	Pass				
Verbe	VER	Accusatif	Acc	Pluriel	Plur	Masculin	Masc			Participe	Par	Parfait	Perf	Passif	Pass				
Verbe	VER	Génitif	Gen	Pluriel	Plur	Masculin	Masc			Participe	Par	Parfait	Perf	Passif	Pass				
Verbe	VER	Datif	Dat	Pluriel	Plur	Masculin	Masc			Participe	Par	Parfait	Perf	Passif	Pass				
Verbe	VER	Ablatif	Abl	Pluriel	Plur	Masculin	Masc			Participe	Par	Parfait	Perf	Passif	Pass				
Verbe	VER	Locatif	Loc	Pluriel	Plur	Masculin	Masc			Participe	Par	Parfait	Perf	Passif	Pass				
																			
Verbe	VER	Nominatif	Nom	Singulier	Sing	Masculin Neutre	MascNeut			Participe	Par	Parfait	Perf	Passif	Pass				
Verbe	VER	Vocatif	Voc	Singulier	Sing	Masculin Neutre	MascNeut			Participe	Par	Parfait	Perf	Passif	Pass				
Verbe	VER	Accusatif	Acc	Singulier	Sing	Masculin Neutre	MascNeut			Participe	Par	Parfait	Perf	Passif	Pass				
Verbe	VER	Génitif	Gen	Singulier	Sing	Masculin Neutre	MascNeut			Participe	Par	Parfait	Perf	Passif	Pass				
Verbe	VER	Datif	Dat	Singulier	Sing	Masculin Neutre	MascNeut			Participe	Par	Parfait	Perf	Passif	Pass				
Verbe	VER	Ablatif	Abl	Singulier	Sing	Masculin Neutre	MascNeut			Participe	Par	Parfait	Perf	Passif	Pass				
Verbe	VER	Locatif	Loc	Singulier	Sing	Masculin Neutre	MascNeut			Participe	Par	Parfait	Perf	Passif	Pass				
																			
Verbe	VER	Nominatif	Nom	Pluriel	Plur	Masculin Neutre	MascNeut			Participe	Par	Parfait	Perf	Passif	Pass				
Verbe	VER	Vocatif	Voc	Pluriel	Plur	Masculin Neutre	MascNeut			Participe	Par	Parfait	Perf	Passif	Pass				
Verbe	VER	Accusatif	Acc	Pluriel	Plur	Masculin Neutre	MascNeut			Participe	Par	Parfait	Perf	Passif	Pass				
Verbe	VER	Génitif	Gen	Pluriel	Plur	Masculin Neutre	MascNeut			Participe	Par	Parfait	Perf	Passif	Pass				
Verbe	VER	Datif	Dat	Pluriel	Plur	Masculin Neutre	MascNeut			Participe	Par	Parfait	Perf	Passif	Pass				
Verbe	VER	Ablatif	Abl	Pluriel	Plur	Masculin Neutre	MascNeut			Participe	Par	Parfait	Perf	Passif	Pass				
Verbe	VER	Locatif	Loc	Pluriel	Plur	Masculin Neutre	MascNeut			Participe	Par	Parfait	Perf	Passif	Pass				
																			
Verbe	VER	Nominatif	Nom	Singulier	Sing	Neutre	Neut			Participe	Par	Parfait	Perf	Passif	Pass				
Verbe	VER	Vocatif	Voc	Singulier	Sing	Neutre	Neut			Participe	Par	Parfait	Perf	Passif	Pass				
Verbe	VER	Accusatif	Acc	Singulier	Sing	Neutre	Neut			Participe	Par	Parfait	Perf	Passif	Pass				
Verbe	VER	Génitif	Gen	Singulier	Sing	Neutre	Neut			Participe	Par	Parfait	Perf	Passif	Pass				
Verbe	VER	Datif	Dat	Singulier	Sing	Neutre	Neut			Participe	Par	Parfait	Perf	Passif	Pass				
Verbe	VER	Ablatif	Abl	Singulier	Sing	Neutre	Neut			Participe	Par	Parfait	Perf	Passif	Pass				
Verbe	VER	Locatif	Loc	Singulier	Sing	Neutre	Neut			Participe	Par	Parfait	Perf	Passif	Pass				
																			
Verbe	VER	Nominatif	Nom	Pluriel	Plur	Neutre	Neut			Participe	Par	Parfait	Perf	Passif	Pass				
Verbe	VER	Vocatif	Voc	Pluriel	Plur	Neutre	Neut			Participe	Par	Parfait	Perf	Passif	Pass				
Verbe	VER	Accusatif	Acc	Pluriel	Plur	Neutre	Neut			Participe	Par	Parfait	Perf	Passif	Pass				
Verbe	VER	Génitif	Gen	Pluriel	Plur	Neutre	Neut			Participe	Par	Parfait	Perf	Passif	Pass				
Verbe	VER	Datif	Dat	Pluriel	Plur	Neutre	Neut			Participe	Par	Parfait	Perf	Passif	Pass				
Verbe	VER	Ablatif	Abl	Pluriel	Plur	Neutre	Neut			Participe	Par	Parfait	Perf	Passif	Pass				
Verbe	VER	Locatif	Loc	Pluriel	Plur	Neutre	Neut			Participe	Par	Parfait	Perf	Passif	Pass				
																			
Verbe	VER	Nominatif	Nom	Singulier	Sing	Commun	Com			Participe	Par	Futur	Fut	Actif	Act				
